LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
4717614.772692,1565307.455,48579,11,PG,1,100,3593
4717614.782420,1565317.182,48579,11,PG,1,100,3600
4717614.792147,1565326.909,48579,11,PG,1,100,3600
4717614.801874,1565336.636,48579,11,PG,1,100,3606
4717614.811602,1565346.364,48579,11,PG,1,100,3564
4717614.821329,1565356.091,48579,11,PG,1,100,3614
4717614.831057,1565365.818,48579,11,PG,1,100,3617
4717614.840784,1565375.545,48579,11,PG,1,100,3601
4717614.850511,1565385.273,48579,11,PG,1,100,3589
4717614.860239,1565395.000,48579,11,PG,1,100,3588
4717614.870572,1565405.333,48594,9,PG,1,100,3581
4717614.880906,1565415.667,48594,9,PG,1,100,3614
4717614.891239,1565426.000,48594,9,PG,1,100,3615
4717614.901572,1565436.333,48594,9,PG,1,100,3595
4717614.911906,1565446.667,48594,9,PG,1,100,3589
4717614.922239,1565457.000,48594,9,PG,1,100,3592
4717614.932573,1565467.333,48594,9,PG,1,100,3589
4717614.942906,1565477.667,48594,9,PG,1,100,3596
4717614.953240,1565488.000,48594,9,PG,1,100,3556
4717614.962967,1565497.727,48613,11,PG,1,100,3578
4717614.972694,1565507.455,48613,11,PG,1,100,3611
4717614.982422,1565517.182,48613,11,PG,1,100,3607
4717614.992149,1565526.909,48613,11,PG,1,100,3581
4717615.001877,1565536.636,48613,11,PG,1,100,3589
4717615.011604,1565546.364,48613,11,PG,1,100,3616
4717615.021331,1565556.091,48613,11,PG,1,100,3597
4717615.031059,1565565.818,48613,11,PG,1,100,3617
4717615.040786,1565575.545,48613,11,PG,1,100,3592
4717615.050513,1565585.273,48613,11,PG,1,100,3568
4717615.060241,1565595.000,48613,11,PG,1,100,3602
4717615.070574,1565605.333,48628,9,PG,1,100,3605
4717615.080908,1565615.667,48628,9,PG,1,100,3587
4717615.091241,1565626.000,48628,9,PG,1,100,3627
4717615.101575,1565636.333,48628,9,PG,1,100,3629
4717615.111908,1565646.667,48628,9,PG,1,100,3598
4717615.122241,1565657.000,48628,9,PG,1,100,3616
4717615.132575,1565667.333,48628,9,PG,1,100,3622
4717615.142908,1565677.667,48628,9,PG,1,100,3626
4717615.153242,1565688.000,48628,9,PG,1,100,3615
4717615.162969,1565697.727,48644,11,PG,1,100,3596
4717615.172697,1565707.455,48644,11,PG,1,100,3601
4717615.182424,1565717.182,48644,11,PG,1,100,3632
4717615.192151,1565726.909,48644,11,PG,1,100,3613
4717615.201879,1565736.636,48644,11,PG,1,100,3578
4717615.211606,1565746.364,48644,11,PG,1,100,3593
4717615.221333,1565756.091,48644,11,PG,1,100,3600
4717615.231061,1565765.818,48644,11,PG,1,100,3611
4717615.240788,1565775.545,48644,11,PG,1,100,3614
4717615.250516,1565785.273,48644,11,PG,1,100,3600
4717615.260243,1565795.000,48644,11,PG,1,100,3610
4717615.270943,1565805.700,48660,10,PG,1,100,3606
4717615.281643,1565816.400,48660,10,PG,1,100,3601
4717615.292343,1565827.100,48660,10,PG,1,100,3597
4717615.303043,1565837.800,48660,10,PG,1,100,3586
4717615.313744,1565848.500,48660,10,PG,1,100,3593
4717615.324444,1565859.200,48660,10,PG,1,100,3613
